id	filename	md5	size	state
1b492aa9-e708-4bc5-92ab-d7c4cc28a968	1b492aa9-e708-4bc5-92ab-d7c4cc28a968/TCGA.LUSC.mutect.1b492aa9-e708-4bc5-92ab-d7c4cc28a968.DR-7.0.somatic.maf.gz	6dd0a19133d658cc971138f19efad3fd	38640899	live
2c0dab06-7af9-4380-bc83-13148298da19	2c0dab06-7af9-4380-bc83-13148298da19/TCGA.LGG.mutect.2c0dab06-7af9-4380-bc83-13148298da19.DR-7.0.somatic.maf.gz	8ec3febe41113920df4ba8be6e7cabcc	7755148	live
2f06b016-d832-4c75-a6d9-1e57bb997701	2f06b016-d832-4c75-a6d9-1e57bb997701/TCGA.UVM.mutect.2f06b016-d832-4c75-a6d9-1e57bb997701.DR-7.0.somatic.maf.gz	a717cbb49f6106fb4dca62dd14dae973	442495	live
3b58a45b-5c28-44e4-bb9c-7fd5450afdd3	3b58a45b-5c28-44e4-bb9c-7fd5450afdd3/TCGA.THCA.mutect.3b58a45b-5c28-44e4-bb9c-7fd5450afdd3.DR-7.0.somatic.maf.gz	14c538feeaa1bab1c1798bf9333fcada	2516945	live
3f59b68a-e6ed-4e77-a49f-48940ee6abda	3f59b68a-e6ed-4e77-a49f-48940ee6abda/TCGA.STAD.mutect.3f59b68a-e6ed-4e77-a49f-48940ee6abda.DR-7.0.somatic.maf.gz	15fe23411a6d91eabd1a1d79ecfa8d1b	47625105	live
60fafc48-e348-411e-ac9d-869043bad259	60fafc48-e348-411e-ac9d-869043bad259/TCGA.BLCA.mutect.60fafc48-e348-411e-ac9d-869043bad259.DR-7.0.somatic.maf.gz	b5348baa68219700660f40224bf7889a	29709070	live
671f8ce3-ce58-4bb7-902c-494b86fd8727	671f8ce3-ce58-4bb7-902c-494b86fd8727/TCGA.MESO.mutect.671f8ce3-ce58-4bb7-902c-494b86fd8727.DR-7.0.somatic.maf.gz	25d55d6273222c2154468699b53a91ec	898923	live
6c6f9b7d-4df6-45b1-a2c9-a65606449c82	6c6f9b7d-4df6-45b1-a2c9-a65606449c82/TCGA.PCPG.mutect.6c6f9b7d-4df6-45b1-a2c9-a65606449c82.DR-7.0.somatic.maf.gz	dc7b9aeb83ac85963d50214a2c08137e	586872	live
75f4eb60-7a7c-4059-90be-f20b2f415fcb	75f4eb60-7a7c-4059-90be-f20b2f415fcb/TCGA.DLBC.mutect.75f4eb60-7a7c-4059-90be-f20b2f415fcb.DR-7.0.somatic.maf.gz	cc45094a36a7c8551459f59bd813111d	1433488	live
7763c4b6-22db-4d00-a063-9643ead6e497	7763c4b6-22db-4d00-a063-9643ead6e497/TCGA.TGCT.mutect.7763c4b6-22db-4d00-a063-9643ead6e497.DR-7.0.somatic.maf.gz	5ac1dd2996117c31f6ece1acad06f3c3	765860	live
778920fa-b05b-49ee-bc32-20c17824745a	778920fa-b05b-49ee-bc32-20c17824745a/TCGA.LIHC.mutect.778920fa-b05b-49ee-bc32-20c17824745a.DR-7.0.somatic.maf.gz	8b3be5cbda3ddea9182e99e23e5dbb46	12082513	live
7d62b913-4ae8-4c59-9819-71711f12b3b2	7d62b913-4ae8-4c59-9819-71711f12b3b2/TCGA.SKCM.mutect.7d62b913-4ae8-4c59-9819-71711f12b3b2.DR-7.0.somatic.maf.gz	43e25bf9c77eb23383131435c024cb75	77815988	live
81ccaef3-4550-494d-882c-895fb5a3de3b	81ccaef3-4550-494d-882c-895fb5a3de3b/TCGA.LUAD.mutect.81ccaef3-4550-494d-882c-895fb5a3de3b.DR-7.0.somatic.maf.gz	116da18484249d077477fdca5b4ed1c6	43871167	live
84c7a87a-9dcc-48fb-bd69-ba9d6e6f3ca2	84c7a87a-9dcc-48fb-bd69-ba9d6e6f3ca2/TCGA.HNSC.mutect.84c7a87a-9dcc-48fb-bd69-ba9d6e6f3ca2.DR-7.0.somatic.maf.gz	1aaf27693d484cf9c66a03d36a4f616a	22540032	live
853e5584-b8c3-4836-9bda-6e7e84a64d97	853e5584-b8c3-4836-9bda-6e7e84a64d97/TCGA.COAD.mutect.853e5584-b8c3-4836-9bda-6e7e84a64d97.DR-7.0.somatic.maf.gz	e5d9a06cb177f49175b835e1b6c4cb40	57149780	live
8cd03874-e40c-45d2-8a13-5ccc79e718e3	8cd03874-e40c-45d2-8a13-5ccc79e718e3/TCGA.OV.mutect.8cd03874-e40c-45d2-8a13-5ccc79e718e3.DR-7.0.somatic.maf.gz	95ed82b37c1460fe4f35169963157f32	17157797	live
8e28f5a3-7546-4d22-8962-2403b00e7845	8e28f5a3-7546-4d22-8962-2403b00e7845/TCGA.THYM.mutect.8e28f5a3-7546-4d22-8962-2403b00e7845.DR-7.0.somatic.maf.gz	630fa74dec746f0de22a1d43266fae34	1088014	live
9437658c-d4c1-4dd4-8d6e-198e20685e9d	9437658c-d4c1-4dd4-8d6e-198e20685e9d/TCGA.PRAD.mutect.9437658c-d4c1-4dd4-8d6e-198e20685e9d.DR-7.0.somatic.maf.gz	12122689aa678e93f9d2485982683fda	6648882	live
